frame,particles,delta,physMem,virtMem
248,561,0.0167092,62779392,52305920
249,561,0.0167501,62779392,52305920
250,563,0.0166647,62779392,52305920
251,564,0.0166139,62779392,52305920
252,566,0.0167153,62779392,52305920
253,566,0.0166603,62779392,52305920
254,566,0.0165845,62779392,52305920
255,567,0.016757,62779392,52305920
256,567,0.016691,62779392,52305920
257,567,0.0166585,62779392,52305920
258,568,0.016659,62779392,52305920
259,569,0.0166796,62779392,52305920
260,573,0.0167002,62779392,52305920
261,574,0.0166081,62779392,52305920
262,575,0.0166475,62779392,52305920
263,577,0.0166377,62779392,52305920
264,580,0.0166567,62779392,52305920
265,583,0.0166679,62779392,52305920
266,587,0.0167781,62779392,52305920
267,593,0.0165417,62779392,52305920
268,599,0.0167646,62779392,52305920
269,600,0.0165992,62779392,52305920
270,600,0.0178809,62779392,52305920
271,603,0.0154009,62779392,52305920
272,603,0.0167848,62779392,52305920
273,603,0.0166597,62779392,52305920
274,603,0.0166669,62779392,52305920
275,603,0.0166097,62779392,52305920
276,605,0.0166671,62779392,52305920
277,607,0.0167205,62779392,52305920
278,607,0.0165684,62779392,52305920
279,607,0.0167724,62779392,52305920
280,609,0.0166463,62779392,52305920
281,612,0.0167182,62779392,52305920
282,612,0.016551,62779392,52305920
283,612,0.0167951,62779392,52305920
284,613,0.0165868,62779392,52305920
285,614,0.0166347,62779392,52305920
286,615,0.0167473,62779392,52305920
287,615,0.0166641,62779392,52305920
288,618,0.016657,62779392,52305920
289,623,0.0166539,62779392,52305920
290,626,0.0166352,62795776,52326400
291,626,0.0167085,62795776,52326400
292,628,0.0166822,62795776,52326400
293,629,0.0165537,62795776,52326400
294,630,0.0166597,62795776,52326400
295,630,0.0166918,62795776,52326400
296,637,0.0166653,62795776,52326400
297,637,0.0166384,62795776,52326400
298,639,0.0166695,62795776,52326400
299,640,0.0168061,62795776,52326400
300,643,0.0166417,62795776,52326400
301,643,0.0165753,62795776,52326400
302,652,0.0167883,62795776,52326400
303,656,0.0166271,62795776,52326400
304,658,0.016589,62795776,52326400
305,660,0.0167,62795776,52326400
306,661,0.0167216,62795776,52326400
307,661,0.0166104,62795776,52326400
308,662,0.0167405,62795776,52326400
309,664,0.0167828,62795776,52326400
310,664,0.0304568,62795776,52326400
311,667,0.0102829,62795776,52326400
312,667,0.0103048,62795776,52326400
313,672,0.0153968,62795776,52326400
314,675,0.0166708,62783488,52314112
315,675,0.016642,62783488,52314112
316,675,0.0166651,62783488,52314112
317,675,0.0166829,62783488,52314112
318,675,0.0166547,62783488,52314112
319,677,0.0167001,62783488,52314112
320,678,0.016673,62783488,52314112
321,682,0.0166253,62783488,52314112
322,684,0.0166842,62783488,52314112
323,684,0.0167204,62783488,52314112
324,684,0.0167206,62783488,52314112
325,684,0.0166239,62783488,52314112
326,688,0.0167824,62783488,52314112
327,692,0.0165814,62783488,52314112
328,692,0.0165892,62783488,52314112
329,693,0.0167823,62783488,52314112
330,693,0.0166624,62783488,52314112
331,696,0.0166485,62783488,52314112
332,696,0.0166701,62783488,52314112
333,697,0.0165746,62783488,52314112
334,697,0.0166408,62783488,52314112
335,698,0.0167318,62783488,52314112
336,703,0.0167065,62783488,52314112
337,707,0.0166713,62783488,52314112
338,707,0.0165601,62783488,52314112
339,710,0.016659,62783488,52314112
340,714,0.0166638,62828544,52359168
341,715,0.0166831,62828544,52359168
342,716,0.0166569,62828544,52359168
343,721,0.0166698,62828544,52359168
344,731,0.0166813,62828544,52359168
345,737,0.0166568,62828544,52359168
346,740,0.0166615,62828544,52359168
347,757,0.0166915,62828544,52359168
348,757,0.0166406,62828544,52359168
349,758,0.0166644,62828544,52359168
350,758,0.016677,53374976,42905600
351,760,0.0166593,53374976,42905600
352,761,0.0166693,53374976,42905600
353,769,0.0167258,53374976,42905600
354,770,0.0167298,53374976,42905600
355,772,0.0166635,53374976,42905600
356,773,0.0166939,53374976,42905600
357,775,0.016523,53374976,42905600
358,776,0.0167963,53374976,42905600
359,781,0.0166818,53374976,42905600
360,783,0.0166426,53374976,42905600
361,783,0.0166586,53374976,42905600
362,785,0.0166442,51277824,40808448
363,788,0.0166935,51277824,40808448
364,790,0.0166049,51277824,40808448
365,801,0.0166725,51277824,40808448
366,804,0.0166439,51277824,40808448
367,805,0.0167502,51277824,40808448
368,807,0.0166064,51277824,40808448
369,810,0.0166605,51277824,40808448
370,810,0.0166239,51277824,40808448
371,810,0.0166705,51277824,40808448
372,812,0.0166621,51277824,40808448
373,817,0.0166581,51277824,40808448
374,817,0.0166801,51277824,40808448
375,821,0.0166574,51277824,40808448
376,825,0.0166658,51277824,40808448
377,825,0.0166773,51277824,40808448
378,826,0.01663,51277824,40808448
379,832,0.016691,51277824,40808448
380,835,0.0166802,51277824,40808448
381,838,0.0167027,51277824,40808448
382,838,0.0166219,51277824,40808448
383,839,0.0166948,51277824,40808448
384,841,0.0166433,51277824,40808448
385,841,0.0167674,51277824,40808448
386,846,0.0166943,51277824,40808448
387,847,0.0165387,51277824,40808448
388,847,0.0167732,51277824,40808448
389,847,0.0165836,51277824,40808448
390,854,0.0166112,51277824,40808448
391,855,0.0166962,51277824,40808448
392,856,0.016719,51277824,40808448
393,856,0.016727,51277824,40808448
394,857,0.0165905,51277824,40808448
395,861,0.0167101,51277824,40808448
396,866,0.016676,51277824,40808448
397,867,0.0166917,51277824,40808448
398,874,0.0166813,51277824,40808448
399,883,0.0165576,51294208,40828928
400,883,0.0167687,51294208,40828928
401,887,0.0167032,51294208,40828928
402,887,0.016597,51294208,40828928
403,890,0.0166902,51294208,40828928
404,901,0.0166992,51294208,40828928
405,902,0.0167194,51294208,40828928
406,910,0.0165743,51294208,40828928
407,914,0.0166106,51294208,40828928
408,915,0.0166456,51294208,40828928
409,916,0.0166459,51294208,40828928
410,916,0.0166793,51294208,40828928
411,918,0.0166569,51294208,40828928
412,926,0.0166658,51294208,40828928
413,926,0.0167079,51294208,40828928
414,930,0.0166157,51294208,40828928
415,932,0.0167069,51294208,40828928
416,932,0.0166647,51294208,40828928
417,934,0.0166571,51294208,40828928
418,941,0.016713,51294208,40828928
419,944,0.0170315,51294208,40828928
420,949,0.0162665,51294208,40828928
421,952,0.0177673,51294208,40828928
422,956,0.0155537,51294208,40828928
423,959,0.0166916,51294208,40828928
424,963,0.0166291,51294208,40828928
425,964,0.0166578,51294208,40828928
426,967,0.0166875,51294208,40828928
427,967,0.0167076,51294208,40828928
428,974,0.0167621,51294208,40828928
429,980,0.0165512,51294208,40828928
430,982,0.0175014,51294208,40828928
431,985,0.0158656,51294208,40828928
432,985,0.0166487,51294208,40828928
433,985,0.0175443,51294208,40828928
434,985,0.0157629,51294208,40828928
435,990,0.0166468,51294208,40828928
436,990,0.0167965,51294208,40828928
437,990,0.0165538,51294208,40828928
438,991,0.0166545,51294208,40828928
439,1001,0.0166661,51294208,40828928
440,1002,0.0188848,51294208,40828928
441,1003,0.0154735,51294208,40828928
442,1007,0.0156814,51326976,40865792
443,1014,0.0175161,51326976,40865792
444,1016,0.0188513,51326976,40865792
445,1018,0.017086,51326976,40865792
