frame,particles,delta,physMem,virtMem
357,775,0.0167252,53862400,41410560
358,776,0.0167533,53862400,41410560
359,781,0.0167287,53862400,41410560
360,783,0.0167836,53862400,41410560
361,783,0.0167442,53862400,41410560
362,785,0.0168868,53862400,41410560
363,788,0.0166399,53862400,41410560
364,790,0.0167562,53862400,41410560
365,801,0.0167655,53862400,41410560
366,804,0.016776,53862400,41410560
367,805,0.016733,53862400,41410560
368,807,0.0167251,53862400,41410560
369,810,0.0167403,53862400,41410560
370,810,0.0167559,53862400,41410560
371,810,0.0167395,53862400,41410560
372,812,0.0167456,53862400,41410560
373,817,0.0167626,53862400,41410560
374,817,0.0167453,53862400,41410560
375,821,0.0167443,53862400,41410560
376,825,0.0167458,53862400,41410560
377,825,0.0167767,53862400,41410560
378,826,0.0167197,53862400,41410560
379,832,0.0167489,53862400,41410560
380,835,0.0167361,53862400,41410560
381,838,0.0167815,53862400,41410560
382,838,0.0167383,53862400,41410560
383,839,0.0167438,53862400,41410560
384,841,0.0167462,53862400,41410560
385,841,0.0167809,53862400,41410560
386,846,0.0167289,53862400,41410560
387,847,0.016725,53862400,41410560
388,847,0.0167401,53862400,41410560
389,847,0.0167878,53862400,41410560
390,854,0.0167181,53862400,41410560
391,855,0.0167487,53862400,41410560
392,856,0.0167487,53862400,41410560
393,856,0.0167477,53862400,41410560
394,857,0.0167788,53862400,41410560
395,861,0.0167461,53862400,41410560
396,866,0.0167503,53862400,41410560
397,867,0.0167166,53862400,41410560
398,874,0.0167348,53862400,41410560
399,883,0.0172529,53862400,41410560
400,883,0.0168653,53862400,41410560
401,887,0.0167812,53862400,41410560
402,887,0.0167142,53862400,41410560
403,890,0.0167424,53862400,41410560
404,901,0.01676,53878784,41431040
405,902,0.0167624,53878784,41431040
406,910,0.0167349,53878784,41431040
407,914,0.0167993,53878784,41431040
408,915,0.0167525,53878784,41431040
409,916,0.01677,53878784,41431040
410,916,0.0167862,53878784,41431040
411,918,0.0167899,53878784,41431040
412,926,0.0168655,53878784,41431040
413,926,0.0175351,53878784,41431040
414,930,0.0166755,53878784,41431040
415,932,0.0167561,53878784,41431040
416,932,0.0167323,53878784,41431040
417,934,0.0167802,53878784,41431040
418,941,0.0167476,53878784,41431040
419,944,0.0170218,53878784,41431040
420,949,0.0167496,53878784,41431040
421,952,0.0178718,53878784,41431040
422,956,0.0167408,53878784,41431040
423,959,0.0174396,53878784,41431040
424,963,0.0167574,53878784,41431040
425,964,0.016727,53878784,41431040
426,967,0.0167481,53878784,41431040
427,967,0.0167446,53878784,41431040
428,974,0.016759,53878784,41431040
429,980,0.0167869,53878784,41431040
430,982,0.0186323,53878784,41431040
431,985,0.0167439,53878784,41431040
432,985,0.0170033,53878784,41431040
433,985,0.0167477,53878784,41431040
434,985,0.0167201,53878784,41431040
435,990,0.0167407,53878784,41431040
436,990,0.0176577,53878784,41431040
437,990,0.016754,53878784,41431040
438,991,0.0168056,53878784,41431040
439,1001,0.0166885,53878784,41431040
440,1002,0.0194997,53878784,41431040
441,1003,0.0167207,53878784,41431040
442,1007,0.0167441,53878784,41431040
443,1014,0.0182963,53878784,41431040
444,1016,0.019481,53878784,41431040
445,1018,0.0178495,53878784,41431040
446,1018,0.0167504,53878784,41431040
447,1018,0.0167576,53878784,41431040
448,1021,0.0167396,53911552,41467904
449,1023,0.0185028,53911552,41467904
450,1024,0.0181711,53911552,41467904
451,1030,0.0167438,53911552,41467904
452,1030,0.0198216,53911552,41467904
453,1030,0.0167387,53911552,41467904
454,1031,0.0167419,53911552,41467904
455,1037,0.0168597,53911552,41467904
456,1037,0.0186582,53911552,41467904
457,1037,0.0176281,53911552,41467904
458,1042,0.0169997,53911552,41467904
459,1043,0.019403,53911552,41467904
460,1046,0.0174379,53911552,41467904
461,1046,0.0183775,53911552,41467904
462,1050,0.0175756,53911552,41467904
463,1052,0.0191913,53911552,41467904
464,1052,0.0180356,53911552,41467904
465,1056,0.0181922,53911552,41467904
466,1058,0.0190737,53911552,41467904
467,1059,0.018067,53911552,41467904
468,1059,0.0180608,53911552,41467904
469,1059,0.01733,53911552,41467904
470,1059,0.0174794,53911552,41467904
471,1059,0.0178208,53911552,41467904
472,1069,0.0173961,53972992,41533440
473,1075,0.0220153,53972992,41533440
474,1075,0.0202857,53972992,41533440
475,1075,0.0187531,53972992,41533440
476,1075,0.0183385,53972992,41533440
477,1076,0.0185913,53972992,41533440
478,1080,0.0185122,53972992,41533440
479,1080,0.0201449,53972992,41533440
480,1080,0.0183756,53972992,41533440
481,1080,0.0183086,53972992,41533440
482,1081,0.018103,53972992,41533440
483,1087,0.0183083,53972992,41533440
484,1089,0.0203315,53972992,41533440
485,1090,0.0193972,53972992,41533440
486,1091,0.0193793,53972992,41533440
487,1094,0.0192681,53972992,41533440
488,1097,0.0198485,53972992,41533440
489,1102,0.0193874,53972992,41533440
490,1102,0.0201189,53972992,41533440
491,1107,0.0187634,53972992,41533440
492,1111,0.020662,53972992,41533440
493,1111,0.0214473,53972992,41533440
494,1120,0.0210326,53972992,41533440
495,1122,0.0219348,53972992,41533440
496,1127,0.0209437,53972992,41533440
497,1136,0.0204533,53972992,41533440
498,1137,0.0240698,53972992,41533440
499,1137,0.0201072,53972992,41533440
500,1138,0.0194723,53972992,41533440
501,1138,0.0194685,53972992,41533440
502,1140,0.0193187,53972992,41533440
503,1141,0.0207449,53972992,41533440
504,1144,0.0200933,53972992,41533440
505,1152,0.0200852,53972992,41533440
506,1152,0.0209427,53972992,41533440
507,1152,0.0200078,53972992,41533440
508,1153,0.019493,53972992,41533440
509,1161,0.0201551,53972992,41533440
510,1169,0.023598,53972992,41533440
511,1172,0.0238464,53972992,41533440
512,1175,0.0203902,53972992,41533440
513,1176,0.0209552,53972992,41533440
514,1176,0.0212131,53972992,41533440
515,1179,0.0201937,53972992,41533440
516,1183,0.0210173,53972992,41533440
517,1185,0.0222747,53972992,41533440
518,1185,0.0215058,53972992,41533440
519,1186,0.0207944,53972992,41533440
520,1196,0.0206356,53972992,41533440
521,1196,0.025001,53972992,41533440
522,1199,0.0220934,53972992,41533440
523,1200,0.0219654,53972992,41533440
524,1203,0.0219956,53972992,41533440
525,1208,0.0212361,53972992,41533440
526,1208,0.0244223,53972992,41533440
527,1209,0.0216802,53972992,41533440
528,1212,0.020672,53972992,41533440
529,1213,0.0224041,53972992,41533440
530,1214,0.021808,53972992,41533440
531,1218,0.0211439,53972992,41533440
532,1218,0.0237522,53972992,41533440
533,1218,0.020488,53972992,41533440
534,1224,0.0211035,53972992,41533440
535,1225,0.02391,53972992,41533440
536,1228,0.0218644,53972992,41533440
537,1229,0.0222541,53972992,41533440
538,1229,0.0219161,53972992,41533440
539,1240,0.0218626,53972992,41533440
540,1240,0.0263194,53972992,41533440
541,1240,0.0213362,53972992,41533440
542,1240,0.0211618,53972992,41533440
543,1240,0.0207662,53972992,41533440
544,1240,0.0212145,53972992,41533440
545,1240,0.0212483,53972992,41533440
546,1242,0.0219058,53972992,41533440
547,1242,0.0224487,53972992,41533440
548,1252,0.0211568,53972992,41533440
549,1254,0.0251126,53972992,41533440
550,1254,0.0227822,53972992,41533440
551,1254,0.0223882,53972992,41533440
552,1254,0.0236598,53972992,41533440
553,1254,0.0211289,53972992,41533440
554,1254,0.0208982,53972992,41533440
555,1258,0.0214842,53972992,41533440
556,1258,0.0235317,53972992,41533440
557,1260,0.0215287,53972992,41533440
558,1263,0.0216452,53972992,41533440
559,1264,0.0226198,53972992,41533440
560,1264,0.0215028,53972992,41533440
561,1264,0.0224964,53972992,41533440
562,1267,0.0210524,53972992,41533440
563,1269,0.02308,53972992,41533440
564,1269,0.0234403,53972992,41533440
565,1270,0.0220636,53972992,41533440
566,1271,0.021818,53972992,41533440
567,1272,0.0224063,53972992,41533440
568,1276,0.0226338,53972992,41533440
569,1288,0.0242988,53972992,41533440
570,1296,0.0278606,53972992,41533440
571,1298,0.0259022,53972992,41533440
572,1303,0.0228155,53972992,41533440
573,1303,0.0272924,53972992,41533440
574,1304,0.0227537,53972992,41533440
575,1304,0.0220401,53972992,41533440
576,1304,0.023637,53972992,41533440
577,1314,0.021836,53972992,41533440
578,1315,0.026535,53972992,41533440
579,1319,0.0229991,53972992,41533440
580,1320,0.0252671,53972992,41533440
581,1322,0.0227668,53972992,41533440
582,1323,0.0233795,53972992,41533440
583,1326,0.0269383,53972992,41533440
584,1329,0.0247968,53972992,41533440
585,1331,0.0259287,53972992,41533440
586,1331,0.0243454,53972992,41533440
587,1333,0.023308,53972992,41533440
588,1344,0.0251052,53972992,41533440
589,1350,0.0323643,53972992,41533440
590,1351,0.0264143,53972992,41533440
591,1353,0.0252703,53972992,41533440
592,1356,0.0253677,53972992,41533440
593,1357,0.026087,53972992,41533440
594,1364,0.0243345,53972992,41533440
595,1367,0.0291912,53972992,41533440
596,1368,0.0259803,53972992,41533440
597,1370,0.0241256,53972992,41533440
598,1373,0.0253663,53972992,41533440
599,1381,0.025119,53972992,41533440
600,1384,0.0266922,53972992,41533440
601,1385,0.027164,53972992,41533440
602,1385,0.0265547,53972992,41533440
603,1387,0.0247827,53972992,41533440
604,1388,0.0260357,53972992,41533440
605,1392,0.0254126,53972992,41533440
606,1394,0.0258768,53972992,41533440
607,1399,0.0279086,53972992,41533440
608,1408,0.0272331,53972992,41533440
609,1408,0.0282125,53972992,41533440
610,1408,0.0260404,53972992,41533440
611,1408,0.0252916,53972992,41533440
612,1411,0.0253904,53972992,41533440
613,1412,0.0259357,53972992,41533440
614,1414,0.0248273,53972992,41533440
615,1415,0.0256104,53972992,41533440
616,1415,0.0251257,53972992,41533440
617,1415,0.024462,53972992,41533440
618,1422,0.0270167,53972992,41533440
619,1423,0.0324302,53972992,41533440
620,1427,0.0245894,53972992,41533440
621,1429,0.0263598,53972992,41533440
622,1433,0.0276223,53972992,41533440
623,1449,0.0270914,53972992,41533440
624,1450,0.030754,53972992,41533440
625,1451,0.0257797,53972992,41533440
626,1452,0.0264253,53972992,41533440
627,1458,0.0267446,53972992,41533440
628,1458,0.0298748,53972992,41533440
629,1458,0.0258916,53972992,41533440
630,1458,0.0260812,53972992,41533440
631,1463,0.0254728,53972992,41533440
632,1468,0.0297356,53972992,41533440
633,1477,0.0277397,53972992,41533440
634,1482,0.030399,53972992,41533440
635,1488,0.0288121,53972992,41533440
636,1493,0.0317461,53972992,41533440
637,1495,0.0286945,53972992,41533440
638,1498,0.0268081,53972992,41533440
639,1498,0.0288042,53972992,41533440
640,1500,0.0265504,53972992,41533440
641,1500,0.0277099,53972992,41533440
642,1500,0.0260211,53972992,41533440
643,1500,0.0260865,53972992,41533440
644,1500,0.027601,53972992,41533440
645,1500,0.0265303,53972992,41533440
646,1500,0.0276817,53972992,41533440
647,1500,0.0278444,53972992,41533440
648,1500,0.0268358,53972992,41533440
649,1500,0.0263703,53972992,41533440
650,1500,0.025809,53972992,41533440
651,1500,0.0269573,53972992,41533440
652,1500,0.0258606,53972992,41533440
653,1500,0.0273183,53972992,41533440
654,1500,0.0271411,53972992,41533440
655,1500,0.0257735,53972992,41533440
656,1500,0.0262701,53972992,41533440
657,1500,0.0275311,53972992,41533440
658,1500,0.02802,53972992,41533440
659,1500,0.026726,53972992,41533440
660,1500,0.0272433,53972992,41533440
661,1500,0.0262862,53972992,41533440
662,1500,0.026748,53972992,41533440
663,1500,0.0273299,53972992,41533440
664,1500,0.026463,53972992,41533440
665,1500,0.0270143,53972992,41533440
666,1500,0.0259782,53972992,41533440
667,1500,0.0253195,53972992,41533440
668,1500,0.0262002,53972992,41533440
669,1500,0.0271807,53972992,41533440
670,1500,0.0279321,53972992,41533440
671,1500,0.0255914,53972992,41533440
672,1500,0.026818,53972992,41533440
673,1500,0.0274683,53972992,41533440
674,1500,0.0272547,53972992,41533440
675,1500,0.0257706,53972992,41533440
676,1500,0.0270274,53972992,41533440
677,1500,0.0268319,53972992,41533440
678,1500,0.0263156,53972992,41533440
679,1500,0.0264422,53972992,41533440
680,1500,0.0275365,53972992,41533440
681,1500,0.0270112,53972992,41533440
682,1500,0.0282043,53972992,41533440
683,1500,0.0279383,53972992,41533440
684,1500,0.0280941,53972992,41533440
685,1500,0.0273302,53972992,41533440
686,1500,0.0314725,53972992,41533440
687,1500,0.0266554,53972992,41533440
688,1500,0.0276349,53972992,41533440
689,1500,0.0281966,53972992,41533440
