frame,particles,delta,physMem,virtMem
313,672,0.0166473,62808064,52346880
314,675,0.0166528,62808064,52346880
315,675,0.01671,62808064,52346880
316,675,0.0165713,62795776,52334592
317,675,0.0167055,62795776,52334592
318,675,0.0166707,62795776,52334592
319,677,0.0166986,62795776,52334592
320,678,0.0166054,62795776,52334592
321,682,0.0167404,62795776,52334592
322,684,0.0166178,62795776,52334592
323,684,0.0166597,62795776,52334592
324,684,0.0166823,62795776,52334592
325,684,0.0166976,62795776,52334592
326,688,0.0166885,62795776,52334592
327,692,0.0166368,62795776,52334592
328,692,0.0166174,62795776,52334592
329,693,0.0166894,62795776,52334592
330,693,0.016711,62795776,52334592
331,696,0.0166743,62795776,52334592
332,696,0.0166364,62795776,52334592
333,697,0.016649,62795776,52334592
334,697,0.0167003,62795776,52334592
335,698,0.0166633,62795776,52334592
336,703,0.0167331,62795776,52334592
337,707,0.0165804,62795776,52334592
338,707,0.0166123,62795776,52334592
339,710,0.0167296,62795776,52334592
340,714,0.0166415,62836736,52379648
341,715,0.0166582,62836736,52379648
342,716,0.0166902,62836736,52379648
343,721,0.0166334,62836736,52379648
344,731,0.0166684,62836736,52379648
345,737,0.0167129,62836736,52379648
346,740,0.0167662,62836736,52379648
347,757,0.0165988,62836736,52379648
348,757,0.0166526,62836736,52379648
349,758,0.0166139,62836736,52379648
350,758,0.0166652,62836736,52379648
351,760,0.0166736,62836736,52379648
352,761,0.0166482,53383168,42926080
353,769,0.0166741,53395456,42926080
354,770,0.0167017,53395456,42926080
355,772,0.0166643,53395456,42926080
356,773,0.016749,53395456,42926080
357,775,0.0166208,53395456,42926080
358,776,0.0167531,53395456,42926080
359,781,0.0165727,53395456,42926080
360,783,0.0166449,53395456,42926080
361,783,0.0167433,53395456,42926080
362,785,0.0165549,53395456,42926080
363,788,0.0167526,53395456,42926080
364,790,0.0165859,51298304,40828928
365,801,0.0167004,51298304,40828928
366,804,0.0166976,51298304,40828928
367,805,0.0167307,51298304,40828928
368,807,0.0165932,51298304,40828928
369,810,0.0166769,51298304,40828928
370,810,0.0166574,51298304,40828928
371,810,0.0166537,51298304,40828928
372,812,0.0166754,51298304,40828928
373,817,0.0167273,51298304,40828928
374,817,0.0165836,51298304,40828928
375,821,0.0166905,51298304,40828928
376,825,0.0167168,51298304,40828928
377,825,0.0165671,51298304,40828928
378,826,0.0167555,51298304,40828928
379,832,0.0166118,51298304,40828928
380,835,0.0166396,51298304,40828928
381,838,0.0167619,51298304,40828928
382,838,0.0166026,51298304,40828928
383,839,0.0166503,51298304,40828928
384,841,0.0167202,51298304,40828928
385,841,0.0165942,51298304,40828928
386,846,0.0166749,51298304,40828928
387,847,0.0166374,51298304,40828928
388,847,0.0166954,51298304,40828928
389,847,0.016697,51298304,40828928
390,854,0.0166444,51298304,40828928
391,855,0.0167799,51298304,40828928
392,856,0.0168876,51298304,40828928
393,856,0.0163538,51298304,40828928
394,857,0.0166573,51298304,40828928
395,861,0.0167682,51298304,40828928
396,866,0.0165884,51298304,40828928
397,867,0.0167388,51298304,40828928
398,874,0.016665,51298304,40828928
399,883,0.0166105,51298304,40828928
400,883,0.0166405,51298304,40828928
401,887,0.0166293,51298304,40828928
402,887,0.0167039,51298304,40828928
403,890,0.0166547,51298304,40828928
404,901,0.0166941,51298304,40828928
405,902,0.0166714,51298304,40828928
406,910,0.0166145,51298304,40828928
407,914,0.0166743,51298304,40828928
